,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,9089,--,--,10447,--,13175 15413,,--,--,6082,--,--,7760,--,--,5954,13146 11149 36282,,--,40587 38720,,--,--,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
CE Civil,,78749,--,--,112180,--,117889 99900,,--,--,80361,--,--,86551,--,121905 77581 83558 97102 148782156749163686137232,,,,,,,--,140347,
CS Computers,,9822,--,10731,9094,10522,9501,11837,--,18532,6117,--,--,6230,--,9246,4973,10351,7360,29343 36632 37377 32304 42171 37844,,,,,
DS Comp. Sc. Engg- 12525 29425,,,,--,10375,--,14428 16061,,--,--,7928,--,--,9194,--,--,7683,--,11850 42473,--,57777 35922,,--,--,
Data Sc.,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,18144,--,--,15352 21807 17890 25958,,,,--,--,10805,--,--,10842,--,14117,9594,18942 13656 61065 79054 72745 59350,,,,,--,69964,
EE Electrical,,--,--,58018 30758,,--,--,--,--,--,23639,--,--,25621,--,--,21604 37247 25758 82280,,,--,85347 78070 113664,,,--,
EI Elec. Inst.,,26214,--,--,41391,--,--,43167,--,--,30113,--,48230 29680,--,--,25086 54705 40619 120169,,,,--,--,132710,--,--,
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
ET Elec.,,29739,--,--,30356,--,--,37898 153865 48248,,,--,--,38773 25285,--,--,20182,--,28975 99509,,--,--,122389,--,--,
Telecommn. Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
EV EC,Engg(VLSI,24727,--,--,26227,--,--,43104,--,132441,--,39112 30476 26038,,--,--,19210,--,24631 76668,,--,--,81500,--,--,
Design),,,,,,,,,,,,,,,,,,,,,,,,,
"IC CS-IoT, Cyber",,14573,--,--,15637,--,18427 16073,,--,--,11393,--,--,11037 27895,--,9271,--,13756 64261,,--,70203 49181,,--,--,
Security,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,12586,--,--,10929 17210 12026 15730,,,,--,--,7558,--,--,7979,--,11334,7209,11113 10877 46319 59957 65179 42889,,,,,--,48585,
ME Mechanical,,57321,--,115460 72746 103002 89030 74475,,,,,--,--,57794,--,--,57579,--,--,50421 74639 68131 146999,,,--,168250170488,,--,235754,
RI Robotics and AI 22708,,,--,--,19489,--,20970 24954,,--,--,13572,--,--,13559,--,--,12985 44002 17403 65641,,,--,95653 64521,,--,--,
9,E009,P E S University (Ring Road Campus),,,,Bangalore,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
