CS Computers,,19718,--,24417 19567 27321 20692 24816,,,,--,--,17787,--,19124 17007,,--,19733 16694 21760 18686 39088 48481 49154 33063,,,,,,,,--,--,
DS Comp. Sc. Engg- 29372,,,--,--,28154,--,--,--,--,--,27445,--,28037 27599,--,--,26663,--,27312 56995,,--,--,36342 52061 68938,,,
Data Sc.,,,,,,,,,,,,,,,,,,,,,,,,,
EC Electronics,,37045,--,--,35820 46636 36804 39651,,,--,90345 34909 49404,,,--,35330,--,36173 33654 36231 34711 82141,,,,,--,98235 53194,,--,--,
EE Electrical,,73641,--,--,65359,--,--,89910,--,113143,--,--,--,61502,--,--,59860 88295 64640 98601,,,--,--,--,--,--,
IE Info.Science,,21783,--,--,21956,--,23467 23293,--,--,21258,--,22471 21847,,--,--,21176 25404 22060 59670 89650 69606 37524,,,,,,,--,--,
ME Mechanical,,--,--,--,143319,--,--,137012,--,--,109529,--,--,119981,--,--,108871152932163184173148,,,--,--,--,--,--,
SE Aero Space,,62716,--,89363 56569,--,--,49646,--,--,49232,--,--,--,--,--,46685,--,53110 73523,,--,127739 88164,,--,--,
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
TI Industrial IoT,,--,--,--,118120,--,--,123893,--,--,124393,--,--,106353,--,--,98692 125205108197172548,,,--,--,124933,--,--,
12,E012,Sir M.Visveswaraya Institute of Technology,,,,,"Hunasemaranahalli,Bangalore,",,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AI Artificial,,12747,--,--,14044,--,19113 15201,--,--,12987,--,--,13284,--,--,12196 24641 15593 41112,,,,--,--,--,--,--,
Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,
BT Bio Technology,,35122,--,115131 41199,--,--,63935,--,--,31224,--,--,--,--,--,28846 79788 57785 62864,,,,--,--,66405,--,--,
CE Civil,,102963,--,--,103258,--,136401124802,--,--,96100,--,--,100322,--,--,94674,--,120821115976,,--,137932,--,--,--,
CS Computers,,11035,--,--,9782,15029 10219,8349,--,15000,8016,--,9713,8196,--,9460,7806,13356,9318,27882 39566 31356 13727,,,,--,--,
EC Electronics,,23568,--,29708 18301,--,18620 16318,,--,--,16564 32478 20127 17088,,,,--,--,16167 20302 17535 57192,,,,--,70305 20503,,--,--,
EE Electrical,,45946 115397,,--,52676 56804 56809 62155,,,--,143379 44739,,--,--,43169,--,--,42935 43325 51403 88731,,,,--,89181 47321,,--,89099,
,,,,,,,ENGINEERING CUTOFF RANK OF CET-2022 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,
12,E012,Sir M.Visveswaraya Institute of Technology,,,,,"Hunasemaranahalli,Bangalore,",,,,,,,,,,,,,,,,,,
